Wolfs | Sheeps
30 100 0
34 94 1315
31 89 1269
32 89 1230
34 88 1187
36 91 1161
34 88 1133
34 85 1109
33 86 1085
33 83 1059
30 80 1036
34 74 1018
34 67 1000
31 58 984
31 58 969
30 54 2242
30 54 2251
30 56 2254
35 56 2259
33 59 2262
35 60 2256
34 62 2246
31 61 2241
34 62 2234
32 64 2222
28 62 2205
26 62 2188
26 64 2168
26 65 2148
24 68 2131
24 71 2138
25 73 2140
23 74 2143
24 72 2127
17 75 2123
16 73 2115
17 76 2098
16 82 2093
14 83 2082
11 84 2083
10 85 2076
10 87 2068
10 86 2062
10 86 2052
8 92 2044
9 92 2032
9 93 2022
9 93 2021
7 93 2018
7 93 2020
8 94 2030
8 90 2021
10 88 2025
10 88 2006
11 92 2001
11 97 1997
11 97 1983
11 101 1969
12 106 1964
11 108 1956
10 115 1954
11 113 1938
11 118 1921
11 112 1909
11 110 1894
11 108 1886
10 109 1885
12 108 1895
14 110 1887
14 110 1882
12 116 1896
12 114 1891
13 114 1881
12 109 1886
11 110 1879
11 112 1876
9 116 1881
10 115 1875
10 114 1867
11 114 1876
11 118 1871
11 116 1854
10 113 1854
10 114 1849
6 115 1827
5 118 1839
5 120 1834
5 124 1821
5 129 1819
5 126 1817
5 126 1815
5 126 1817
6 123 1820
6 127 1808
7 132 1793
7 137 1787
7 133 1780
7 136 1781
8 138 1785
6 139 1766
6 138 1771
6 136 1769
7 139 1772
7 145 1762
7 143 1742
7 146 1732
7 149 1726
7 145 1723
7 137 1726
7 131 1736
8 135 1743
7 136 1734
7 138 1734
7 138 1735
7 144 1727
7 142 1735
6 144 1728
7 138 1731
8 139 1734
7 141 1734
8 142 1724
8 140 1720
6 144 1720
7 147 1718
6 145 1707
6 142 1718
7 141 1714
7 140 1714
6 139 1711
5 140 1703
5 141 1699
5 140 1704
5 141 1721
5 144 1731
5 144 1739
5 145 1734
5 150 1713
5 154 1709
5 157 1699
5 153 1689
5 157 1685
6 157 1681
6 159 1683
6 152 1682
6 146 1682
6 145 1684
7 144 1683
7 144 1677
9 145 1675
8 145 1684
8 139 1702
8 139 1701
9 143 1728
7 143 1738
7 143 1746
7 141 1747
7 136 1739
7 135 1735
7 136 1739
7 139 1730
7 140 1729
7 140 1727
8 139 1730
8 138 1724
8 142 1723
8 141 1717
8 145 1698
8 144 1691
9 145 1686
10 146 1685
12 153 1681
14 154 1682
15 151 1671
16 152 1658
14 160 1640
12 163 1634
13 164 1633
11 166 1639
12 163 1628
13 161 1625
13 156 1618
14 155 1610
14 152 1612
15 149 1614
17 149 1628
16 142 1627
13 138 1640
11 144 1668
11 145 1682
13 147 1684
15 140 1677
17 142 1665
17 139 1671
16 141 1674
18 144 1686
18 142 1691
19 145 1681
19 144 1671
20 146 1662
18 147 1660
19 152 1651
17 158 1635
17 156 1627
17 160 1636
19 158 1642
19 151 1640
20 155 1637
20 156 1645
20 158 1648
19 155 1641
20 153 1644
20 152 1657
20 150 1663
20 148 1662
23 144 1671
22 146 1679
20 148 1687
15 150 1677
15 157 1672
15 157 1684
15 154 1699
15 151 1692
15 151 1676
15 150 1678
15 152 1676
15 145 1669
16 145 1670
16 144 1680
16 142 1670
18 141 1668
19 146 1660
18 142 1670
18 137 1684
18 142 1691
20 149 1684
22 142 1680
24 144 1696
26 147 1704
23 149 1707
25 140 1714
25 139 1721
23 140 1722
22 144 1722
22 140 1724
25 136 1736
25 134 1734
23 141 1729
25 132 1721
27 137 1724
30 139 1741
29 138 1743
28 136 1751
29 138 1756
28 145 1751
26 150 1742
27 151 1738
29 147 1741
32 141 1728
33 139 1719
30 144 1707
25 149 1712
24 154 1715
24 150 1719
22 147 1702
22 145 1691
24 145 1676
25 147 1672
24 156 1681
24 160 1675
22 155 1679
22 147 1681
25 146 1693
22 150 1701
19 151 1713
17 151 1697
15 149 1694
14 145 1690
12 145 1697
12 135 1701
12 134 1703
10 138 1709
11 138 1712
12 134 1727
12 131 1722
12 132 1718
13 138 1718
13 134 1718
13 139 1717
13 141 1732
14 139 1738
14 140 1746
15 141 1747
15 139 1746
15 144 1752
16 144 1758
16 144 1750
17 145 1737
19 142 1744
22 149 1746
22 150 1738
23 148 1738
23 149 1724
23 152 1713
22 155 1701
21 152 1690
22 156 1690
23 154 1696
23 152 1682
23 149 1678
22 152 1682
25 152 1683
26 149 1678
26 145 1678
27 143 1680
28 138 1672
29 138 1680
30 136 1684
27 132 1699
27 133 1699
30 134 1698
30 135 1698
32 136 1721
32 137 1714
33 138 1719
31 136 1726
31 140 1728
26 139 1721
28 139 1732
27 142 1724
29 145 1737
31 144 1737
32 142 1726
36 134 1734
35 135 1742
37 132 1738
36 129 1727
38 126 1728
38 127 1720
40 130 1718
40 132 1717
40 134 1725
42 136 1724
43 137 1737
42 140 1731
36 137 1741
32 136 1738
35 144 1740
36 144 1728
37 142 1735
38 135 1724
39 131 1729
41 136 1731
41 141 1731
41 146 1731
40 149 1730
40 150 1724
42 148 1708
43 146 1702
41 144 1689
40 144 1694
40 140 1690
38 139 1693
36 135 1682
37 135 1693
35 134 1690
34 132 1689
34 136 1687
40 140 1674
40 138 1677
42 138 1674
45 138 1684
43 143 1690
43 136 1687
47 139 1686
49 140 1682
50 145 1675
51 144 1683
54 144 1684
48 144 1684
47 145 1689
47 144 1702
46 145 1723
51 138 1726
51 138 1733
50 136 1737
50 136 1736
51 140 1741
48 141 1736
50 141 1734
48 143 1749
46 143 1743
45 140 1740
47 133 1741
49 133 1746
48 131 1741
49 136 1739
50 135 1730
49 129 1732
52 136 1735
52 137 1739
51 137 1742
54 129 1750
54 125 1760
57 120 1761
59 118 1772
57 115 1776
59 118 1782
60 119 1772
60 119 1774
61 117 1781
57 117 1795
57 116 1804
62 118 1813
57 118 1817
58 121 1832
57 123 1839
55 116 1838
56 113 1837
53 111 1834
52 108 1845
54 109 1849
51 108 1865
55 108 1868
55 107 1867
54 103 1875
54 107 1866
49 106 1857
52 111 1857
52 108 1862
51 103 1868
52 107 1875
51 106 1888
51 102 1898
50 101 1908
53 94 1919
52 96 1929
48 93 1941
48 89 1955
52 94 1961
50 91 1977
49 93 1987
50 92 2001
49 93 1997
48 91 1995
45 91 2004
48 85 2003
46 83 2009
48 83 2007
48 84 2008
50 84 1998
54 82 1997
52 88 1988
51 89 1985
50 89 1989
50 90 1999
53 91 1988
54 91 1993
56 93 2000
54 95 1991
51 94 1988
49 91 1982
45 91 1980
49 93 1978
49 99 1985
51 103 1990
54 105 1993
53 101 1991
54 99 1981
46 93 1978
43 88 1993
46 86 1997
47 88 1999
50 92 2004
48 98 2011
44 95 2022
49 91 2016
47 92 2014
48 92 2020
49 97 2003
49 93 2000
50 94 1999
47 97 1997
51 92 1991
52 94 1987
46 95 1984
46 93 1990
41 91 1990
35 94 1988
31 92 1982
32 87 1995
32 89 2002
34 86 1997
33 87 2002
34 82 2003
32 82 2001
32 84 2017
33 87 2013
34 82 2009
32 81 2007
29 77 2004
25 76 2006
25 76 2013
23 73 2012
26 73 2017
28 75 2011
27 76 2003
24 76 2006
24 80 2008
23 79 2009
23 81 2003
24 84 2018
